ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
AL071865,            UNNAMED,18651023,0,  , HU,22.6N,82.6W,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061866,            UNNAMED,18661002,0,  , HU,24.5N,77.1W,120,938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021867,            UNNAMED,18670802,1200,  , HU,37.5N,73.5W,80,969,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091867,            UNNAMED,18671029,1800,  , HU,18.4N,64.8W,100,952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061869,            UNNAMED,18690908,1800,  , HU,38.8N,72.6W,100,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061869,            UNNAMED,18690908,2100, L, HU,41.0N,71.9W,100,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061869,            UNNAMED,18690908,2200, L, HU,41.4N,71.7W,100,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061869,            UNNAMED,18690909,0,  , HU,42.8N,71.1W,80,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071869,            UNNAMED,18690915,1800,  , HU,23.7N,58.6W,80,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031870,            UNNAMED,18700904,1200,  , TS,19.2N,53.0W,40,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041870,            UNNAMED,18700912,0,  , HU,41.5N,57.4W,100,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051870,            UNNAMED,18700919,0,  , HU,40.8N,64.1W,80,969,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061870,            UNNAMED,18701007,1200,  , HU,22.1N,81.6W,100,959,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011871,            UNNAMED,18710604,600,  , TS,28.9N,95.0W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011871,            UNNAMED,18710604,700, L, TS,29.1N,95.1W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,            UNNAMED,18710816,0,  , HU,26.8N,78.5W,100,952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,            UNNAMED,18710816,600,  , HU,26.8N,79.1W,100,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,            UNNAMED,18710821,1200,  , HU,17.7N,62.9W,100,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,            UNNAMED,18710822,0,  , HU,18.9N,65.3W,100,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021873,            UNNAMED,18730825,0,  , HU,43.7N,58.9W,90,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051873,            UNNAMED,18731007,0,  , HU,26.2N,82.5W,100,959,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051873,            UNNAMED,18731007,100, L, HU,26.5N,82.2W,100,959,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,            UNNAMED,18740928,1800, L, HU,32.8N,80.0W,80,981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,            UNNAMED,18740930,1800,  , EX,46.0N,68.0W,60,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021875,            UNNAMED,18750906,600,  , HU,23.6N,58.5W,70,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031875,            UNNAMED,18750913,1200,  , HU,21.0N,78.5W,80,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031875,            UNNAMED,18750914,600,  , TS,23.4N,82.4W,60,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011876,            UNNAMED,18760909,1800,  , HU,40.7N,59.3W,80,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,            UNNAMED,18760913,1800,  , HU,18.3N,67.6W,70,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,            UNNAMED,18760916,600,  , TS,22.9N,80.0W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,            UNNAMED,18760917,1200,  , HU,33.5N,77.8W,80,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,            UNNAMED,18760917,1400, L, HU,34.4N,77.6W,80,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,            UNNAMED,18760917,1800,  , HU,36.0N,77.3W,70,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021876,            UNNAMED,18760918,0,  , TS,38.2N,77.3W,60,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051876,            UNNAMED,18761019,1200,  , HU,22.7N,82.3W,100,958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051876,            UNNAMED,18761020,0,  , HU,24.7N,81.9W,90,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051876,            UNNAMED,18761020,500, L, HU,25.8N,81.4W,90,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051876,            UNNAMED,18761020,1800,  , HU,28.8N,79.6W,80,976,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031878,            UNNAMED,18780820,600,  , HU,45.8N,59.7W,80,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041878,            UNNAMED,18780825,1800,  , TS,26.7N,75.6W,50,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041878,            UNNAMED,18780828,1800,  , HU,34.0N,63.9W,90,972,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041878,            UNNAMED,18780829,600,  , HU,35.2N,60.4W,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051878,            UNNAMED,18780910,1200,  , HU,28.7N,82.5W,80,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051878,            UNNAMED,18780911,0,  , TS,29.7N,81.5W,60,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071878,            UNNAMED,18781007,1200,  , HU,43.5N,48.5W,110,938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081878,            UNNAMED,18781013,1200,  , HU,42.9N,62.6W,70,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101878,            UNNAMED,18781018,1800,  , HU,31.0N,56.8W,100,951,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111878,            UNNAMED,18781023,0,  , HU,33.0N,77.4W,90,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111878,            UNNAMED,18781023,400, L, HU,34.8N,77.1W,90,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111878,            UNNAMED,18781023,1200,  , HU,39.0N,77.2W,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021879,            UNNAMED,18790818,1200, L, HU,34.5N,76.8W,100,971,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021879,            UNNAMED,18790818,1800,  , HU,37.3N,75.4W,90,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021879,            UNNAMED,18790819,0,  , HU,39.5N,73.4W,80,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021879,            UNNAMED,18790819,600, L, HU,41.4N,70.8W,70,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031879,            UNNAMED,18790823,0,  , HU,29.3N,94.4W,90,964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031879,            UNNAMED,18790823,200, L, HU,29.6N,94.4W,90,964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031879,            UNNAMED,18790823,1200,  , TS,32.3N,93.8W,50,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081879,            UNNAMED,18791120,1800,  , EX,42.5N,64.8W,80,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021880,            UNNAMED,18800813,0,  , HU,25.7N,96.9W,130,931,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021880,            UNNAMED,18800813,100, L, HU,25.8N,97.0W,130,931,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021880,            UNNAMED,18800813,600,  , HU,26.1N,97.6W,110,943,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031880,            UNNAMED,18800818,1800,  , HU,16.5N,75.3W,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031880,            UNNAMED,18800819,0,  , HU,17.6N,76.6W,80,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031880,            UNNAMED,18800819,1200,  , TS,20.2N,77.5W,60,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041880,            UNNAMED,18800829,0,  , HU,28.0N,79.4W,90,972,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051880,            UNNAMED,18800831,600,  , HU,33.5N,64.0W,80,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061880,            UNNAMED,18800909,600,  , HU,33.5N,78.1W,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061880,            UNNAMED,18800909,1000, L, HU,34.7N,77.1W,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081880,            UNNAMED,18801002,600,  , HU,28.0N,63.3W,120,928,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081880,            UNNAMED,18801002,1200,  , HU,28.3N,63.7W,120,928,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101880,            UNNAMED,18801013,1800,  , HU,28.8N,66.8W,80,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101880,            UNNAMED,18801014,1200,  , HU,30.7N,64.6W,70,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111880,            UNNAMED,18801023,1200,  , EX,43.5N,69.0W,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111880,            UNNAMED,18801023,1300, L, EX,44.0N,68.8W,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051881,            UNNAMED,18810828,0,  , HU,31.6N,80.9W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051881,            UNNAMED,18810828,200, L, HU,31.7N,81.1W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051881,            UNNAMED,18810829,1200,  , TS,34.0N,89.0W,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061881,            UNNAMED,18810909,1800,  , HU,34.2N,78.1W,80,975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021882,            UNNAMED,18820907,0,  , HU,22.6N,85.8W,80,981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021882,            UNNAMED,18820909,1800,  , HU,28.8N,88.0W,100,961,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021882,            UNNAMED,18820910,0,  , HU,30.0N,87.1W,110,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021882,            UNNAMED,18820910,200, L, HU,30.4N,86.8W,110,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021882,            UNNAMED,18820912,1200,  , TS,41.7N,68.1W,50,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041882,            UNNAMED,18820923,600,  , TS,36.0N,76.6W,40,1005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021883,            UNNAMED,18830830,1200,  , HU,45.0N,56.2W,70,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021883,            UNNAMED,18830902,600,  , EX,52.0N,7.2W,80,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021884,            UNNAMED,18840907,1200,  , HU,22.0N,57.0W,100,957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031884,            UNNAMED,18840915,0,  , HU,29.3N,73.9W,70,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031884,            UNNAMED,18840916,600,  , HU,27.8N,76.0W,70,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031884,            UNNAMED,18840918,600,  , HU,30.2N,65.3W,80,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031884,            UNNAMED,18840919,600,  , HU,42.7N,53.5W,70,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011885,            UNNAMED,18850809,1200,  , HU,34.5N,60.6W,70,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011885,            UNNAMED,18850809,1800,  , HU,36.3N,60.3W,70,981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011885,            UNNAMED,18850810,1200,  , HU,42.0N,56.0W,70,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021885,            UNNAMED,18850825,1200, L, HU,32.6N,80.1W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021885,            UNNAMED,18850827,0,  , HU,40.4N,62.9W,90,958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051885,            UNNAMED,18850918,1200,  , TS,16.2N,55.1W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041886,            UNNAMED,18860721,1800,  , HU,39.8N,56.9W,70,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051886,            UNNAMED,18860820,1200,  , HU,28.0N,96.6W,130,925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051886,            UNNAMED,18860820,1300, L, HU,28.1N,96.8W,130,925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051886,            UNNAMED,18860820,1800,  , HU,29.0N,98.0W,85,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061887,            UNNAMED,18870823,1200,  , EX,49.0N,35.0W,70,972,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081887,            UNNAMED,18870904,0,  , HU,46.4N,44.5W,90,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091887,            UNNAMED,18870921,1700, L, HU,26.1N,97.2W,75,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091887,            UNNAMED,18870921,1800,  , HU,26.1N,97.3W,75,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101887,            UNNAMED,18870918,0,  , HU,45.7N,51.4W,70,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL161887,            UNNAMED,18871031,1800,  , TS,35.4N,73.4W,60,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL161887,            UNNAMED,18871105,600,  , EX,53.4N,23.1W,60,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051888,            UNNAMED,18880908,1200,  , TS,27.7N,81.8W,35,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051888,            UNNAMED,18880909,600,  , TS,29.2N,82.9W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061888,            UNNAMED,18880926,1200,  , HU,41.2N,70.2W,70,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061888,            UNNAMED,18880926,1300, L, HU,41.6N,69.9W,70,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071888,            UNNAMED,18881011,0,  , HU,29.0N,83.3W,95,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071888,            UNNAMED,18881011,100, L, HU,29.2N,83.1W,95,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031891,            UNNAMED,18910819,0,  , HU,14.7N,61.1W,110,961,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071891,            UNNAMED,18911007,1800,  , TS,27.1N,80.3W,40,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041893,            UNNAMED,18930823,0,  , HU,29.8N,71.6W,100,952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041893,            UNNAMED,18930824,1200, L, HU,40.7N,73.9W,75,986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061893,            UNNAMED,18930822,600,  , HU,21.9N,55.5W,85,972,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061893,            UNNAMED,18930828,0,  , HU,30.6N,80.7W,100,954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061893,            UNNAMED,18930828,500, L, HU,31.7N,81.1W,100,954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061893,            UNNAMED,18930828,600,  , HU,32.1N,81.2W,90,958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091893,            UNNAMED,18931013,1200,  , HU,32.6N,79.7W,105,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091893,            UNNAMED,18931013,1300, L, HU,33.0N,79.5W,105,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101893,            UNNAMED,18931002,600,  , HU,29.1N,90.0W,115,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL101893,            UNNAMED,18931002,800, L, HU,29.3N,89.8W,115,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031894,            UNNAMED,18940908,0,  , HU,36.2N,53.4W,100,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041894,            UNNAMED,18940924,1800,  , TS,22.9N,81.7W,60,994,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041894,            UNNAMED,18940925,1200,  , HU,25.0N,82.0W,80,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061894,            UNNAMED,18941016,1800,  , HU,26.1N,66.7W,115,931,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071894,            UNNAMED,18941029,0,  , HU,47.0N,42.6W,95,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021896,            UNNAMED,18960907,0,  , HU,29.1N,74.1W,100,956,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041896,            UNNAMED,18960929,600,  , HU,27.0N,84.2W,110,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041896,            UNNAMED,18960929,1100, L, HU,29.2N,83.1W,110,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041896,            UNNAMED,18960929,1200,  , HU,29.6N,82.9W,100,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041896,            UNNAMED,18960929,1800,  , HU,32.2N,81.2W,85,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041896,            UNNAMED,18960930,0,  , HU,35.7N,79.2W,70,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041896,            UNNAMED,18960930,600,  , EX,39.5N,78.5W,60,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041898,            UNNAMED,18980911,1800,  , HU,13.6N,61.5W,95,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071898,            UNNAMED,18980927,1800,  , HU,23.2N,67.0W,80,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071898,            UNNAMED,18981002,1200,  , HU,30.4N,80.6W,115,938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071898,            UNNAMED,18981002,1600, L, HU,30.9N,81.4W,115,938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081898,            UNNAMED,18980926,1200,  , TD,22.5N,82.5W,30,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021899,            UNNAMED,18990801,1800,  , HU,29.8N,84.8W,85,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031899,            UNNAMED,18990803,1800,  , TS,12.2N,35.7W,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031899,            UNNAMED,18990807,1800,  , HU,16.5N,62.0W,130,930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031899,            UNNAMED,18990808,1200,  , HU,18.0N,66.2W,120,940,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051899,            UNNAMED,18990913,600,  , HU,32.2N,64.6W,105,939,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011900,            UNNAMED,19000906,1800,  , HU,26.1N,85.2W,85,974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011900,            UNNAMED,19000909,0,  , HU,28.9N,94.7W,120,936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011900,            UNNAMED,19000909,200, L, HU,29.1N,95.1W,120,936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041901,            UNNAMED,19010815,1800,  , HU,30.5N,88.7W,70,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041902,            UNNAMED,19021007,600,  , HU,20.0N,92.5W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021903,            UNNAMED,19030809,600,  , HU,14.5N,61.4W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021903,            UNNAMED,19030812,600,  , HU,19.4N,81.1W,105,958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021903,            UNNAMED,19030815,600,  , HU,22.6N,95.1W,70,986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031903,            UNNAMED,19030911,1800,  , HU,25.9N,79.6W,75,976,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031903,            UNNAMED,19030911,2300, L, HU,26.1N,80.1W,75,976,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031903,            UNNAMED,19030912,1200,  , TS,27.3N,82.1W,55,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041903,            UNNAMED,19030916,1100, L, HU,39.1N,74.7W,70,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041903,            UNNAMED,19030916,1200,  , HU,39.3N,74.7W,70,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041905,            UNNAMED,19051011,1800,  , EX,42.9N,44.8W,80,945,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021906,            UNNAMED,19060617,600,  , HU,25.0N,80.9W,75,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021906,            UNNAMED,19060617,800, L, HU,25.2N,80.7W,75,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041906,            UNNAMED,19060911,0,  , HU,40.0N,52.8W,95,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051906,            UNNAMED,19060917,1800,  , HU,32.9N,78.2W,80,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051906,            UNNAMED,19060917,2200, L, HU,33.3N,79.2W,80,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061906,            UNNAMED,19060926,1200,  , HU,26.3N,87.0W,105,953,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
