ID,Hurricane Name,Formation Date,Latitude Formed,Longitude Formed,Maximum Winds,Minimum Pressure
AL051964,['               CLEO'],19640820,13.1N,44.3W,135,950
AL112015,['            JOAQUIN'],20150926,26.8N,68.7W,135,931
AL021929,['            UNNAMED'],19290925,25.6N,76.6W,135,924
AL112010,['               IGOR'],20100908,14.0N,22.7W,135,924
AL051886,['            UNNAMED'],18860820,28.0N,96.6W,130,925
AL091966,['               INEZ'],19660924,14.4N,47.7W,130,929
AL091999,['               GERT'],19990911,12.6N,24.2W,130,930
AL032004,['            CHARLEY'],20040809,11.4N,59.2W,130,941
AL081958,['             HELENE'],19580922,21.9N,64.1W,130,930
AL051910,['            UNNAMED'],19101014,22.3N,83.6W,130,924
AL141932,['            UNNAMED'],19321109,20.8N,78.9W,130,918
AL021880,['            UNNAMED'],18800813,25.7N,96.9W,130,931
AL171995,['               OPAL'],19950927,19.1N,87.3W,130,916
AL031899,['            UNNAMED'],18990803,12.2N,35.7W,130,930
AL031853,['            UNNAMED'],18530903,19.7N,56.2W,130,924
AL101964,['              HILDA'],19640930,22.8N,86.1W,130,941
AL021919,['            UNNAMED'],19190910,24.6N,82.8W,130,927
AL101926,['            UNNAMED'],19261017,14.3N,80.9W,130,934
AL101974,['             CARMEN'],19740829,16.8N,55.8W,130,928
AL021932,['            UNNAMED'],19320814,28.6N,94.6W,130,935
AL042005,['             DENNIS'],20050704,12.0N,60.8W,130,930
AL011856,['            UNNAMED'],18560810,29.2N,91.1W,130,934
AL041917,['            UNNAMED'],19170925,21.8N,82.5W,130,928
AL051996,['            EDOUARD'],19960819,12.4N,19.9W,125,933
AL091985,['             GLORIA'],19850916,13.3N,23.6W,125,920
AL031999,['               BRET'],19990818,19.5N,94.4W,125,944
AL082014,['            GONZALO'],20141011,16.4N,54.9W,125,940
AL072010,['               EARL'],20100824,12.4N,19.3W,125,927
AL091964,['             GLADYS'],19640914,18.8N,52.1W,125,945
AL051960,['              DONNA'],19600902,13.9N,47.6W,125,930
AL132002,['               LILI'],20020921,10.2N,44.6W,125,938
AL051961,['             ESTHER'],19610912,17.6N,42.0W,125,927
AL091932,['            UNNAMED'],19320926,17.7N,63.0W,125,943
AL091988,['             HELENE'],19880919,13.4N,31.6W,125,938
AL092008,['                IKE'],20080901,17.2N,37.0W,125,935
AL102003,['             FABIAN'],20030827,14.6N,30.7W,125,939
AL062004,['            FRANCES'],20040825,11.1N,35.2W,125,935
AL101989,['          GABRIELLE'],19890830,11.6N,21.0W,125,935
AL111988,['               JOAN'],19881010,8.9N,42.2W,125,932
AL112001,['               IRIS'],20011004,12.3N,58.2W,125,948
AL071926,['            UNNAMED'],19260918,25.6N,80.3W,125,930
AL061951,['               EASY'],19510906,22.3N,60.6W,125,937
AL101952,['                FOX'],19521021,16.6N,81.8W,125,934
AL071963,['              FLORA'],19630929,10.0N,52.8W,125,940
AL061915,['            UNNAMED'],19150925,15.6N,77.7W,125,931
AL172008,['             PALOMA'],20081105,13.7N,81.7W,125,944
AL041947,['            UNNAMED'],19470911,15.2N,51.0W,125,938
AL122004,['               KARL'],20040916,11.2N,29.2W,125,938
AL031958,['               CLEO'],19580814,14.6N,47.1W,120,947
AL132000,['              ISAAC'],20000921,11.5N,23.0W,120,943
AL152001,['           MICHELLE'],20011029,13.3N,83.6W,120,934
AL021961,['              BETSY'],19610903,17.0N,48.1W,120,945
AL021955,['             CONNIE'],19550803,16.1N,44.2W,120,944
AL152000,['              KEITH'],20000928,16.1N,82.9W,120,939
AL011900,['            UNNAMED'],19000906,26.1N,85.2W,120,936
AL122011,['              KATIA'],20110828,9.5N,19.0W,120,942
AL122010,['              JULIA'],20100912,12.9N,20.5W,120,948
AL101978,['               ELLA'],19780830,26.2N,59.7W,120,956
AL041999,['              CINDY'],19990819,13.5N,18.9W,120,942
AL071995,['              FELIX'],19950808,14.3N,30.8W,120,929
AL111933,['            UNNAMED'],19330903,25.4N,76.8W,120,945
AL061950,['                FOX'],19500910,17.9N,48.8W,120,946
AL081955,['               IONE'],19550912,14.0N,55.8W,120,938
AL061866,['            UNNAMED'],18661002,24.5N,77.1W,120,938
AL041957,['             CARRIE'],19570908,17.4N,42.9W,120,945
AL162011,['            OPHELIA'],20110920,11.6N,37.0W,120,940
AL131995,['               LUIS'],19950827,11.3N,22.7W,120,935
AL151975,['             GLADYS'],19750922,10.3N,34.8W,120,939
